trajectory,step,mode,group_size,rmse_vs_full_bf16
sky100,16,Row-wise,0,0.094776942
sky100,16,G1024,1024,0.076705097
sky100,16,G128,128,0.041125770
sky100,17,Hybrid,0,0.054705147
sky100,17,Row-wise,0,0.128215557
sky100,17,G1024,1024,0.105619550
sky100,17,G128,128,0.059888275
sky100,18,Hybrid,0,0.085156258
sky100,18,Row-wise,0,0.181048122
sky100,18,G1024,1024,0.151739123
sky100,18,G128,128,0.091457948
sky100,19,Hybrid,0,0.144353902
sky100,19,Row-wise,0,0.276035948
sky100,19,G1024,1024,0.234926769
sky100,19,G128,128,0.152386739
sky100,20,Hybrid,0,0.289098035
sky100,20,Row-wise,0,0.491180710
sky100,20,G1024,1024,0.426133654
sky100,20,G128,128,0.301065978
