step,sigma,delta_sigma,dit_out_hash,dit_out_sum,dit_out_sum_abs,dit_out_l2,dit_out_min,dit_out_max,euler_out_hash,euler_out_sum,euler_out_sum_abs,euler_out_l2,euler_out_min,euler_out_max
0,1,0.0117647052,5347fbaea902ef7f,-10283.4737,309895.236,989.45178,-10,10.125,031a976f0e1aee24,-794.686956,135730.901,410.378759,-4.35099792,4.83967781
1,0.988235295,0.0152623057,fde7c3b4e71e18b4,-10863.8605,188166.537,574.396122,-6.78125,5.90625,45d302083a1c9766,-960.494505,133663.058,404.12403,-4.26133204,4.74571943
2,0.972972989,0.0205920339,fc535aef05823639,-21510.5083,193803.574,590.98045,-7,6.84375,8688234823acd172,-1403.4396,130930.059,395.853897,-4.16995478,4.61637592
3,0.952380955,0.0293040276,45722026ac0c5ca8,-22824.8166,198694.852,601.048668,-6.375,6.1875,9d8d0f5992bedaac,-2072.29865,127192.527,384.530712,-4.06784868,4.4323101
4,0.923076928,0.0450281501,69ebcf72fa7f2f32,-21331.7783,197335.758,596.633722,-6.5,6.21875,d0ff39e56c339c89,-3032.82918,121800.873,368.220458,-4.02002096,4.15369844
5,0.878048778,0.0780487657,1cccfd145d2b1730,-20963.1681,190003.651,573.80845,-6.96875,5.9375,56aab693087d0c31,-4668.97855,113476.351,342.948871,-3.9358747,3.73549724
6,0.800000012,0.16842109,b52955033129aab9,-20710.8293,188412.948,569.598196,-5.9375,5.90625,1492680230f818f0,-8157.119,101059.658,305.107589,-3.57271671,3.04511738
7,0.631578922,0.631578922,af8e42a6edcac9bc,-20179.3653,186792.597,565.416048,-5.8125,5.8125,158b068e53245489,-20901.9808,135010.897,413.273866,-3.70181394,3.80709052
