case,op,process_id,repeat,input_hash,output_hash,rmse_vs_run0,mae,max_abs,cosine,first_mismatch,nax_enabled,zero_pad_mode,sync_mode
fox2026_step0_block0,qkv,91868,34,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,35,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,36,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,37,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,38,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,39,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,40,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,41,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,42,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,43,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,44,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,45,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,46,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,47,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,48,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,49,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,50,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,51,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,52,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
